"","X","TPR","OC","p","cov.type","rho","op","n1","n2","det1","det2","sig12"
"71","SDA0-117",0.95005,"gamma",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"72","SDA1-117",0.9421,"gamma",600,"ar",0.9,0.1,400,100,-0.3,0.3,0.05
"73","MOW1-1",0.47205,"t",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"74","MDW-1",0.4724,"t",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"75","SDA0-1",0.43375,"t",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"76","SDA1-1",0.38055,"t",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"77","MOW1-11",0.4749,"t",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"78","MDW-11",0.4751,"t",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"79","SDA0-11",0.4284,"t",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"80","SDA1-11",0.3924,"t",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"81","MOW1-12",0.4709,"t",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"82","MDW-12",0.4723,"t",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"83","SDA0-12",0.4531,"t",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"84","SDA1-12",0.3837,"t",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"85","MOW1-13",0.47105,"t",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"86","MDW-13",0.46865,"t",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"87","SDA0-13",0.45485,"t",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"88","SDA1-13",0.40165,"t",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"89","MOW1-14",0.47225,"t",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"90","MDW-14",0.4696,"t",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"91","SDA0-14",0.48125,"t",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"92","SDA1-14",0.47805,"t",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"93","MOW1-15",0.46875,"t",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"94","MDW-15",0.4679,"t",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"95","SDA0-15",0.49815,"t",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"96","SDA1-15",0.48915,"t",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"97","MOW1-16",0.4682,"t",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"98","MDW-16",0.47175,"t",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"99","SDA0-16",0.54935,"t",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"100","SDA1-16",0.54035,"t",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"101","MOW1-17",0.4686,"t",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"102","MDW-17",0.4715,"t",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"103","SDA0-17",0.6079,"t",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"104","SDA1-17",0.62175,"t",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"105","MOW1-18",0.46925,"t",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"106","MDW-18",0.47045,"t",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"107","SDA0-18",0.68535,"t",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"108","SDA1-18",0.7023,"t",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"109","MOW1-19",0.5735,"gamma",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"110","MDW-19",0.57165,"gamma",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"111","SDA0-19",0.4968,"gamma",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"112","SDA1-19",0.4699,"gamma",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"113","MOW1-110",0.56455,"gamma",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"114","MDW-110",0.5644,"gamma",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"115","SDA0-110",0.4936,"gamma",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"116","SDA1-110",0.467,"gamma",600,"bd-rho",0.2,0.1,400,100,-0.3,0.3,0.05
"117","MOW1-111",0.5623,"gamma",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"118","MDW-111",0.5608,"gamma",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"119","SDA0-111",0.5069,"gamma",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"120","SDA1-111",0.47795,"gamma",600,"bd-rho",0.3,0.1,400,100,-0.3,0.3,0.05
"121","MOW1-112",0.5602,"gamma",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"122","MDW-112",0.56165,"gamma",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"123","SDA0-112",0.52265,"gamma",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"124","SDA1-112",0.4857,"gamma",600,"bd-rho",0.4,0.1,400,100,-0.3,0.3,0.05
"125","MOW1-113",0.56215,"gamma",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"126","MDW-113",0.56575,"gamma",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"127","SDA0-113",0.5437,"gamma",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"128","SDA1-113",0.52445,"gamma",600,"bd-rho",0.5,0.1,400,100,-0.3,0.3,0.05
"129","MOW1-114",0.5659,"gamma",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"130","MDW-114",0.5689,"gamma",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"131","SDA0-114",0.56875,"gamma",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"132","SDA1-114",0.563,"gamma",600,"bd-rho",0.6,0.1,400,100,-0.3,0.3,0.05
"133","MOW1-115",0.5637,"gamma",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"134","MDW-115",0.5658,"gamma",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"135","SDA0-115",0.61765,"gamma",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"136","SDA1-115",0.6089,"gamma",600,"bd-rho",0.7,0.1,400,100,-0.3,0.3,0.05
"137","MOW1-116",0.5626,"gamma",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"138","MDW-116",0.56635,"gamma",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"139","SDA0-116",0.67175,"gamma",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
